Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(445_523)-(599_688),(266_721)-(428_881),(77_543)-(137_645),(313_273)-(424_372),(662_578)-(729_770)
470.00,0.01,0.01,0.03,0.00,0.00
560.00,3.35,6.30,3.73,1.23,2.80
670.00,0.98,2.44,1.51,0.46,0.98
720.00,26.74,36.11,26.02,14.74,25.60
780.00,59.58,73.98,52.44,33.93,54.08
840.00,64.10,80.76,56.84,34.36,59.43
900.00,67.27,87.93,62.79,34.31,61.62
970.00,55.86,84.41,55.77,22.57,50.50
