Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(323_76)-(439_160),(249_298)-(293_358),(478_54)-(520_131),(258_153)-(319_196),(191_125)-(215_154)
470.00,0.00,0.01,0.00,0.00,0.00
560.00,15.24,20.72,14.74,4.93,7.75
670.00,7.00,6.87,7.38,3.56,7.85
720.00,38.68,48.94,39.10,21.94,33.73
780.00,46.26,58.79,44.99,38.25,44.41
840.00,46.67,52.88,43.95,39.46,48.71
900.00,51.63,66.30,47.96,48.30,51.58
970.00,51.05,66.72,49.35,46.16,54.86
