Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(583_251)-(750_396),(546_513)-(701_618),(252_550)-(350_623),(272_301)-(342_329),(717_624)-(800_658)
470.00,0.00,0.37,0.37,0.11,1.85
560.00,12.12,18.04,18.24,16.52,23.91
670.00,4.24,7.86,8.72,12.06,9.51
720.00,33.58,48.65,50.56,38.74,61.12
780.00,39.82,56.18,56.62,41.57,69.28
840.00,34.34,51.71,50.41,36.81,63.98
900.00,33.92,55.83,53.73,37.13,65.67
970.00,23.32,52.78,42.24,22.16,66.42
