Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(218_160)-(342_282),(132_565)-(217_703),(361_506)-(397_584),(398_437)-(469_480)
470.00,0.01,0.60,0.00,0.00
560.00,7.05,10.31,7.66,1.53
670.00,3.55,4.33,3.41,1.58
720.00,30.54,59.10,41.24,24.07
780.00,48.26,77.85,49.56,38.03
840.00,37.42,46.15,34.66,30.48
900.00,29.42,33.34,29.51,26.36
970.00,22.93,23.85,20.03,18.18
