Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(621_368)-(736_472),(751_261)-(834_378),(910_470)-(966_542),(785_555)-(859_590),(500_696)-(574_749),(348_420)-(426_524)
470.00,0.39,0.23,0.84,0.85,0.91,0.05
560.00,11.87,14.64,18.81,15.47,18.50,10.95
670.00,3.48,5.82,8.21,3.96,3.88,2.22
720.00,41.28,44.07,51.45,51.57,55.48,39.23
780.00,78.80,83.22,91.68,91.15,92.71,71.58
840.00,81.80,86.25,94.68,94.85,94.85,72.49
900.00,83.65,86.95,94.69,94.93,94.97,77.94
970.00,83.03,86.46,93.93,93.11,93.50,69.90
