Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(529_388)-(679_543),(509_145)-(642_202),(105_325)-(222_412),(78_617)-(177_737),(739_446)-(767_514),(37_427)-(98_484)
470.00,0.03,0.06,0.20,0.07,0.00,2.41
560.00,9.17,12.28,17.43,14.65,8.27,21.81
670.00,1.60,2.72,4.01,4.30,1.40,5.94
720.00,34.80,39.08,51.91,45.63,32.53,60.22
780.00,64.37,73.56,90.04,74.06,62.38,92.37
840.00,68.66,75.14,91.19,77.59,66.47,93.88
900.00,72.18,77.02,92.61,81.70,67.30,94.67
970.00,62.38,69.53,89.94,77.79,57.20,92.57
