Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(311_568)-(441_721),(636_591)-(795_699),(660_187)-(767_334),(140_264)-(273_346)
470.00,0.01,0.00,0.00,0.01
560.00,6.50,6.01,4.30,6.35
670.00,2.35,2.09,1.43,2.10
720.00,36.94,36.36,26.14,35.11
780.00,58.01,55.79,46.39,63.64
840.00,53.47,50.78,41.15,55.68
900.00,63.75,58.21,42.13,57.85
970.00,53.29,48.43,27.79,40.09
