Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(252_108)-(356_195),(249_252)-(361_348),(551_288)-(685_394),(452_605)-(572_698)
470.00,0.00,0.01,0.00,0.02
560.00,7.65,7.91,8.35,6.97
670.00,3.62,3.32,3.61,2.30
720.00,41.37,38.67,38.11,39.83
780.00,59.70,59.94,60.13,72.38
840.00,49.33,51.33,53.53,66.25
900.00,53.87,77.27,81.35,93.47
970.00,88.82,46.90,44.89,75.17
