Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(453_213)-(593_317),(625_227)-(716_317),(402_429)-(490_557),(470_623)-(570_716),(169_464)-(290_615),(192_138)-(229_163)
470.00,0.23,0.00,0.29,0.10,0.75,0.29
560.00,38.33,20.67,44.83,58.58,49.37,40.37
670.00,8.42,3.85,8.47,12.03,9.53,17.30
720.00,51.40,35.64,59.62,71.06,66.89,53.45
780.00,67.05,48.80,76.85,87.92,84.05,67.10
840.00,67.09,49.70,76.03,85.34,82.46,68.72
900.00,71.57,50.79,82.81,91.08,86.81,77.42
970.00,63.43,55.76,78.67,88.94,88.16,58.93
