Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(539_559)-(619_669),(673_597)-(756_733),(247_578)-(336_673),(526_256)-(605_327),(315_232)-(350_296)
470.00,0.94,0.22,0.31,0.00,0.00
560.00,11.67,10.56,10.59,2.40,2.81
670.00,4.88,4.52,3.09,0.87,1.02
720.00,51.69,53.79,46.08,22.75,23.83
780.00,88.97,93.19,77.33,45.73,51.98
840.00,80.66,89.41,68.34,43.00,48.55
900.00,71.63,77.89,60.71,35.74,41.39
970.00,58.55,70.49,44.19,18.23,21.80
