Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(466_540)-(592_648),(702_680)-(849_786),(1016_548)-(1118_652),(632_489)-(722_580),(649_314)-(756_391)
470.00,0.00,0.01,0.00,0.00,0.00
560.00,9.83,9.87,6.63,9.35,5.35
670.00,2.47,2.34,1.58,1.96,1.07
720.00,36.77,36.76,28.13,34.57,26.52
780.00,52.55,49.15,40.51,49.27,44.22
840.00,47.58,43.61,37.05,43.99,34.70
900.00,49.50,49.71,42.96,45.15,30.18
970.00,33.60,34.81,27.75,28.65,16.67
