Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(232_536)-(327_663),(357_449)-(422_538),(553_523)-(669_622),(657_686)-(728_796),(713_241)-(832_348),(240_211)-(351_274)
470.00,0.00,0.04,0.02,0.01,0.00,3.86
560.00,3.51,9.35,6.44,4.43,3.31,18.11
670.00,1.15,3.39,1.97,1.43,1.20,11.65
720.00,23.01,39.18,31.94,26.96,23.60,61.91
780.00,46.75,66.58,61.17,54.87,34.46,80.98
840.00,44.59,62.34,46.73,50.19,34.21,65.64
900.00,59.40,94.69,81.27,80.82,46.31,67.17
970.00,49.18,70.58,62.03,57.88,42.02,93.61
