Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(265_175)-(361_206),(470_152)-(493_211),(393_541)-(444_630),(462_502)-(484_551),(251_235)-(303_273)
470.00,7.73,6.15,0.10,0.28,3.80
560.00,29.30,33.96,4.74,12.66,19.74
670.00,25.29,28.42,7.16,18.30,15.73
720.00,57.06,57.32,30.93,35.07,34.15
780.00,63.85,67.65,36.56,39.63,42.56
840.00,60.70,63.61,39.39,40.47,39.68
900.00,59.93,58.34,46.62,37.37,40.10
970.00,51.02,32.28,52.90,32.74,22.28
