Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(169_323)-(297_415),(581_151)-(657_249),(642_391)-(763_495),(434_519)-(539_649)
470.00,0.00,0.00,0.00,0.00
560.00,6.74,7.45,5.02,9.15
670.00,1.42,1.37,0.97,2.06
720.00,31.80,29.33,25.86,35.29
780.00,60.94,53.40,51.25,67.51
840.00,68.21,52.80,52.77,73.09
900.00,61.74,45.77,45.00,66.40
970.00,45.15,31.16,31.49,59.05
