Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(674_424)-(749_547),(239_462)-(352_589),(252_150)-(289_212),(703_142)-(785_273),(132_269)-(206_364)
470.00,0.00,0.00,0.00,0.00,0.00
560.00,7.14,8.92,7.48,8.45,6.50
670.00,0.88,1.25,1.13,1.15,1.13
720.00,25.88,31.97,29.13,27.64,26.59
780.00,49.63,62.96,57.27,51.64,51.91
840.00,49.54,66.83,60.73,50.15,56.49
900.00,46.48,61.15,53.60,45.89,50.30
970.00,29.48,44.60,40.97,32.21,33.53
