Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(206_492)-(367_565),(168_109)-(258_243),(488_149)-(664_272),(463_372)-(580_517)
470.00,0.50,0.06,0.00,0.03
560.00,27.29,24.56,15.26,12.02
670.00,8.82,8.01,4.50,3.40
720.00,64.69,55.95,42.16,39.23
780.00,76.97,67.23,53.65,51.34
840.00,72.89,62.00,52.78,49.84
900.00,85.20,64.77,57.21,55.67
970.00,84.68,60.74,53.42,53.20
