Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(562_596)-(648_681),(369_659)-(424_770),(275_434)-(404_526),(549_798)-(657_868)
470.00,2.69,1.27,0.01,1.80
560.00,28.85,18.35,10.48,27.21
670.00,8.63,5.54,3.87,8.10
720.00,85.81,60.67,44.52,80.27
780.00,95.00,87.02,79.32,94.77
840.00,95.00,84.65,67.78,93.82
900.00,95.00,86.49,60.62,94.50
970.00,93.61,71.25,46.76,93.08
