Number of bands=8
Number of spectra=7
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(201_462)-(320_618),(375_382)-(446_521),(628_440)-(730_579),(737_610)-(821_700),(210_199)-(324_264),(622_158)-(633_260),(115_255)-(198_356)
470.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
560.00,7.26,8.83,5.43,5.61,8.50,1.75,7.97
670.00,1.91,2.69,1.40,1.63,2.33,1.07,2.24
720.00,50.07,52.00,39.99,43.53,50.98,23.85,49.99
780.00,76.37,79.60,60.81,71.08,76.66,39.72,75.90
840.00,63.66,64.66,49.81,61.95,65.09,35.12,65.74
900.00,65.94,68.88,49.18,62.33,66.51,33.43,66.34
970.00,42.95,44.96,28.64,43.43,45.83,14.52,45.93
