Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(339_520)-(470_715),(474_215)-(588_313),(95_520)-(193_636),(228_215)-(269_300)
470.00,0.17,0.01,0.39,0.00
560.00,24.66,22.48,25.31,8.86
670.00,7.74,6.06,7.91,2.07
720.00,51.67,54.25,49.87,29.19
780.00,73.05,69.68,63.67,40.44
840.00,71.64,61.33,63.13,39.27
900.00,77.53,59.65,66.77,40.68
970.00,88.63,64.66,71.46,31.96
