Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(445_186)-(606_294),(423_499)-(555_647),(109_201)-(222_349),(92_543)-(222_714)
470.00,0.03,0.37,0.00,0.35
560.00,9.61,9.63,8.81,10.43
670.00,4.86,2.77,3.57,3.86
720.00,38.48,44.57,39.14,44.73
780.00,63.17,84.15,62.07,81.17
840.00,55.30,76.60,53.10,74.12
900.00,82.60,94.98,81.17,94.76
970.00,56.54,90.76,51.22,89.13
