Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(372_463)-(431_604),(477_517)-(532_627),(128_518)-(199_604),(295_216)-(361_307),(387_182)-(451_271),(98_236)-(168_307)
470.00,0.54,0.93,0.18,0.00,0.00,0.00
560.00,10.68,8.25,9.33,4.23,5.56,1.14
670.00,6.28,5.21,3.42,1.46,2.18,0.68
720.00,45.42,40.30,45.85,29.43,34.86,17.14
780.00,83.67,77.44,84.84,48.97,54.19,29.29
840.00,82.26,73.97,84.53,44.51,49.35,26.18
900.00,94.96,94.73,94.63,71.95,70.82,35.54
970.00,92.46,88.15,93.53,73.21,76.05,19.74
