Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(228_498)-(330_609),(337_372)-(425_469),(213_155)-(286_229),(317_106)-(388_185),(631_427)-(693_528),(604_128)-(697_238)
470.00,0.00,0.05,0.00,0.00,0.00,0.00
560.00,9.40,9.13,4.11,5.23,3.59,4.41
670.00,3.05,2.44,1.16,1.34,1.12,1.27
720.00,40.83,39.56,24.59,27.34,23.86,25.00
780.00,72.74,67.36,38.33,40.83,42.30,39.60
840.00,67.30,59.56,33.66,35.13,39.14,35.99
900.00,94.85,89.01,48.46,51.51,70.94,49.93
970.00,76.02,73.34,22.58,24.74,25.36,23.24
