Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(1019_227)-(1182_446),(739_306)-(848_489),(550_687)-(663_771),(697_745)-(825_850),(1098_822)-(1167_948),(1318_750)-(1371_877)
470.00,0.04,0.00,0.00,0.00,0.08,0.00
560.00,13.40,4.58,10.54,10.83,15.68,11.82
670.00,4.99,1.35,3.25,2.82,4.89,4.19
720.00,44.27,26.57,42.69,43.77,47.32,43.30
780.00,88.76,55.90,77.62,77.78,83.99,81.62
840.00,93.20,59.66,89.53,85.28,87.43,87.21
900.00,87.09,59.19,93.77,92.39,89.20,87.87
970.00,91.17,58.46,92.27,90.97,94.30,84.41
