Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(543_154)-(653_289),(472_432)-(603_525),(191_392)-(344_483),(183_177)-(257_290),(313_154)-(389_209),(539_551)-(630_609)
470.00,0.00,0.28,0.22,0.03,2.61,0.12
560.00,6.27,11.35,14.51,9.38,17.29,8.87
670.00,1.95,3.84,3.74,5.63,15.92,2.97
720.00,37.48,56.53,67.36,55.07,63.79,49.02
780.00,51.98,80.52,83.75,65.43,69.74,70.60
840.00,44.81,67.69,70.59,59.19,62.10,60.62
900.00,40.34,65.02,67.47,54.85,59.55,58.08
970.00,27.61,56.45,44.44,27.34,27.91,48.72
