Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(437_174)-(508_223),(524_228)-(645_295),(550_346)-(630_373),(476_385)-(549_436),(224_435)-(275_484)
470.00,0.00,0.01,4.56,1.88,0.23
560.00,23.42,23.76,47.59,20.29,38.60
670.00,8.74,8.73,23.18,14.50,24.95
720.00,68.28,73.52,95.00,83.87,94.93
780.00,74.48,81.38,95.00,88.88,95.00
840.00,68.05,78.63,95.00,90.98,94.95
900.00,65.42,71.25,95.00,90.49,94.94
970.00,54.10,69.30,95.00,91.62,94.79
