Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(497_402)-(567_439),(439_407)-(471_437),(468_543)-(516_580),(740_431)-(781_471),(463_339)-(498_390)
470.00,18.46,15.95,0.70,3.73,9.26
560.00,61.50,52.00,13.99,38.91,50.99
670.00,58.13,51.73,14.53,29.78,49.13
720.00,94.06,90.61,49.06,94.99,94.68
780.00,94.97,91.77,49.27,94.32,94.81
840.00,94.98,93.46,47.31,94.82,94.89
900.00,94.99,94.34,45.24,94.92,94.70
970.00,95.00,94.40,32.83,94.99,94.87
