Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(465_357)-(595_568),(546_126)-(623_230),(76_115)-(160_265),(196_394)-(237_555)
470.00,0.01,0.00,0.00,0.00
560.00,10.12,4.10,7.50,4.72
670.00,3.86,1.15,2.62,1.20
720.00,38.11,24.00,38.64,28.54
780.00,54.44,36.28,59.65,47.39
840.00,51.50,34.43,51.66,43.77
900.00,56.61,36.36,54.89,46.89
970.00,51.15,26.31,46.10,38.54
