Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(1069_214)-(1174_355),(954_500)-(1166_676),(829_568)-(899_695),(671_231)-(747_314),(642_454)-(719_521)
470.00,0.00,0.05,0.01,0.00,0.03
560.00,15.10,13.70,5.84,8.34,12.42
670.00,4.50,4.28,2.39,3.15,7.92
720.00,41.53,41.46,25.55,25.21,33.70
780.00,54.18,58.26,37.38,30.34,39.14
840.00,50.18,54.63,36.13,29.11,37.67
900.00,52.11,61.92,39.33,29.48,40.83
970.00,50.75,60.36,32.42,20.65,30.73
