Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(546_326)-(686_434),(689_254)-(805_367),(159_290)-(284_463),(546_714)-(776_887),(206_765)-(333_918)
470.00,0.00,0.00,0.00,0.04,0.00
560.00,6.65,6.85,4.54,9.85,7.27
670.00,2.84,3.80,1.23,4.62,1.71
720.00,35.03,34.34,29.24,44.36,40.78
780.00,57.65,55.74,47.62,80.01,73.58
840.00,51.04,49.16,40.57,75.69,68.20
900.00,76.10,74.68,60.59,95.00,95.00
970.00,40.98,43.30,28.31,88.96,74.78
