Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(597_209)-(699_305),(435_574)-(545_778),(791_613)-(932_743),(860_342)-(1021_483)
470.00,0.02,0.05,0.70,0.33
560.00,10.26,12.03,17.81,10.08
670.00,3.09,3.20,6.67,3.59
720.00,38.89,44.13,57.32,40.48
780.00,73.75,75.85,94.41,75.68
840.00,72.18,79.67,94.94,78.44
900.00,76.27,85.40,95.00,83.94
970.00,68.46,72.21,94.68,76.54
