Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(408_349)-(555_537),(595_282)-(741_465),(449_633)-(668_802),(132_680)-(289_810)
470.00,0.02,0.01,0.68,1.54
560.00,8.85,8.98,15.44,23.37
670.00,2.65,3.43,7.24,8.45
720.00,47.99,48.21,64.96,84.92
780.00,70.06,70.25,92.04,95.00
840.00,61.73,63.71,84.47,92.07
900.00,56.23,57.88,80.08,86.59
970.00,45.58,50.55,76.29,79.03
