Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(398_234)-(576_341),(409_445)-(515_593),(267_206)-(311_298),(234_510)-(315_601)
470.00,0.21,0.09,0.21,0.62
560.00,40.28,41.18,37.10,42.45
670.00,12.97,10.99,11.43,10.71
720.00,67.55,67.17,59.00,68.18
780.00,68.24,67.49,58.02,69.94
840.00,61.36,62.14,51.11,63.19
900.00,68.22,68.07,55.92,66.49
970.00,64.17,71.07,56.31,71.44
