Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(430_440)-(541_517),(944_148)-(1076_267),(1122_171)-(1199_262),(1137_497)-(1199_645),(978_448)-(1074_608),(759_672)-(854_757)
470.00,0.00,0.00,0.02,0.09,0.02,0.00
560.00,9.21,20.26,27.73,34.14,26.05,16.94
670.00,1.94,3.32,6.09,6.94,4.02,2.81
720.00,37.50,48.86,61.34,65.28,56.59,50.69
780.00,67.58,69.85,77.32,86.61,78.38,84.12
840.00,74.75,67.88,82.39,92.64,80.83,91.36
900.00,66.52,55.94,67.80,86.74,77.07,80.25
970.00,54.26,47.53,64.49,87.60,73.92,84.97
