Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(764_605)-(853_759),(916_690)-(997_835),(386_643)-(490_832),(790_295)-(900_390),(573_195)-(631_320)
470.00,0.15,0.00,0.00,0.00,0.00
560.00,16.05,15.21,13.26,0.86,4.00
670.00,4.02,3.93,2.10,0.38,0.86
720.00,41.95,41.36,35.15,12.18,20.54
780.00,74.15,72.73,60.68,25.62,40.96
840.00,78.69,75.91,64.01,26.32,42.08
900.00,76.17,72.02,59.43,22.45,37.20
970.00,64.81,60.58,45.89,10.09,20.95
