Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(556_167)-(668_371),(777_553)-(960_735),(515_604)-(614_735),(769_350)-(876_452)
470.00,0.07,1.37,0.14,0.00
560.00,23.46,26.58,23.08,7.25
670.00,6.98,8.61,4.56,1.80
720.00,58.23,59.66,55.31,30.71
780.00,71.49,73.55,66.71,41.61
840.00,62.43,70.41,58.04,38.08
900.00,68.17,76.48,63.15,41.70
970.00,55.36,77.14,51.01,30.81
