Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(960_149)-(1136_295),(911_562)-(1008_653),(998_709)-(1147_789),(506_641)-(690_773),(628_269)-(709_403)
470.00,0.00,0.00,0.00,0.00,0.00
560.00,7.66,7.37,3.57,2.20,5.70
670.00,2.95,1.71,0.77,0.49,1.65
720.00,31.59,30.17,21.01,18.80,29.24
780.00,49.66,45.73,33.87,31.65,42.93
840.00,48.63,42.77,32.59,29.17,37.74
900.00,52.20,45.60,34.67,30.24,41.82
970.00,44.84,38.58,26.59,18.15,31.65
