Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(376_528)-(458_567),(515_583)-(577_618),(553_531)-(599_542),(529_287)-(584_303),(320_354)-(399_374),(529_343)-(558_353)
470.00,1.21,4.33,11.70,0.00,0.01,0.84
560.00,20.11,26.37,40.22,20.67,6.28,29.09
670.00,12.23,15.88,21.79,5.69,2.09,12.63
720.00,35.20,44.99,60.01,47.81,24.34,53.98
780.00,47.44,61.38,78.40,72.70,40.92,73.79
840.00,50.59,65.26,81.96,73.70,42.31,74.14
900.00,48.93,63.99,85.87,65.44,36.24,67.76
970.00,37.17,56.64,71.66,57.41,29.00,48.17
