Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(434_456)-(532_614),(781_139)-(959_288),(762_702)-(904_807),(938_483)-(1051_598)
470.00,0.97,0.43,0.01,0.00
560.00,15.83,11.71,8.96,2.52
670.00,5.47,5.15,3.12,1.45
720.00,56.85,47.79,39.32,22.14
780.00,88.35,83.12,63.53,42.09
840.00,83.99,76.92,59.33,36.96
900.00,90.65,70.16,73.49,43.51
970.00,80.06,60.61,70.32,33.60
