Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(580_160)-(714_319),(476_512)-(597_666),(160_478)-(247_609),(235_142)-(325_257)
470.00,0.00,0.05,0.02,0.00
560.00,6.63,12.03,12.75,2.59
670.00,1.75,3.71,2.83,0.69
720.00,27.60,40.73,43.84,17.01
780.00,44.41,63.95,65.64,28.51
840.00,39.67,56.17,59.41,26.06
900.00,36.20,59.13,63.65,24.88
970.00,37.20,61.24,60.75,18.30
