Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(292_213)-(386_354),(618_139)-(754_320),(671_513)-(816_632),(292_598)-(435_663)
470.00,0.01,0.01,0.02,0.57
560.00,6.48,7.19,6.19,12.43
670.00,2.26,2.98,1.98,3.88
720.00,31.79,31.51,30.30,44.70
780.00,65.97,67.58,44.30,70.29
840.00,56.29,55.54,46.34,66.86
900.00,60.68,56.86,55.98,78.04
970.00,50.69,47.51,48.06,74.09
