Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(551_183)-(637_297),(622_83)-(690_161),(667_422)-(756_466),(774_381)-(903_466),(414_637)-(592_730),(177_441)-(253_524)
470.00,0.00,0.00,3.09,2.32,0.16,0.00
560.00,5.43,4.89,19.59,20.24,22.72,4.18
670.00,1.31,1.13,6.82,8.71,6.63,1.38
720.00,27.71,25.97,51.55,55.52,65.69,22.36
780.00,55.47,53.44,94.37,94.55,94.99,40.84
840.00,57.60,55.05,94.98,94.96,95.00,44.62
900.00,61.33,53.50,94.98,94.88,95.00,48.80
970.00,54.12,43.28,94.52,94.60,94.98,36.83
