Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(459_88)-(574_195),(608_123)-(685_215),(525_504)-(647_737),(169_665)-(256_742),(133_287)-(206_392)
470.00,0.00,0.00,0.00,0.00,0.05
560.00,7.32,5.74,9.52,2.26,4.18
670.00,3.12,2.01,3.73,0.30,1.45
720.00,42.88,39.40,57.33,27.77,32.20
780.00,73.61,69.26,85.66,46.52,51.81
840.00,61.30,59.04,80.90,39.80,45.69
900.00,57.23,52.90,80.21,39.56,46.95
970.00,39.35,39.82,66.73,17.72,26.58
