Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(689_153)-(745_237),(556_303)-(612_410),(828_358)-(914_492),(972_259)-(1078_422),(788_653)-(870_690),(554_683)-(642_798)
470.00,0.01,0.00,0.08,0.31,0.06,0.01
560.00,9.12,6.21,10.01,14.56,15.01,16.97
670.00,3.66,1.59,2.43,5.03,3.55,3.55
720.00,39.16,28.49,35.91,42.53,46.65,51.38
780.00,76.64,55.62,70.94,82.48,86.69,90.31
840.00,81.72,58.08,76.31,87.23,93.61,93.86
900.00,79.22,62.24,79.55,87.66,94.59,94.72
970.00,72.57,59.94,81.17,89.91,94.03,93.81
