Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(561_366)-(737_472),(522_598)-(714_737),(148_556)-(220_676),(364_120)-(523_222)
470.00,0.11,0.02,0.00,0.00
560.00,13.42,19.35,13.42,8.65
670.00,3.25,6.04,3.36,2.73
720.00,58.90,70.09,57.86,46.05
780.00,72.99,77.48,65.37,65.69
840.00,68.67,70.38,59.46,58.79
900.00,66.07,71.36,62.23,54.71
970.00,61.23,66.28,48.86,46.14
