Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(453_170)-(632_295),(495_591)-(597_717),(161_478)-(291_608),(186_163)-(289_270),(361_64)-(404_164)
470.00,0.00,0.03,0.15,0.00,0.00
560.00,8.22,22.52,23.99,6.91,7.37
670.00,1.17,5.87,3.77,1.24,1.33
720.00,27.47,49.27,51.67,24.95,25.55
780.00,47.43,78.04,75.90,41.33,42.22
840.00,46.42,76.06,75.43,43.55,43.74
900.00,46.61,82.55,81.36,44.69,43.83
970.00,36.50,81.87,73.18,31.37,32.12
