Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(159_139)-(252_260),(462_350)-(628_488),(413_611)-(547_745),(96_586)-(204_732)
470.00,0.00,0.01,0.02,0.02
560.00,5.00,5.90,9.90,9.26
670.00,1.70,1.96,4.57,3.01
720.00,25.20,29.98,38.01,35.75
780.00,38.83,50.28,59.92,54.99
840.00,37.51,46.49,56.88,55.73
900.00,38.48,50.04,65.80,65.18
970.00,31.63,44.10,66.00,64.30
