Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(733_197)-(848_352),(897_75)-(970_211),(729_645)-(898_834),(1092_517)-(1280_677),(1158_234)-(1285_324)
470.00,0.00,0.00,0.03,0.40,0.00
560.00,5.81,6.57,12.59,13.81,1.22
670.00,1.37,1.60,2.82,3.91,0.41
720.00,24.39,28.54,42.72,43.15,11.65
780.00,46.82,56.22,75.21,79.86,25.24
840.00,49.22,59.97,80.57,86.91,26.62
900.00,52.45,62.97,90.76,89.73,25.74
970.00,39.32,53.68,90.35,89.63,16.63
