Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(632_735)-(715_835),(235_790)-(329_919),(787_797)-(883_890),(760_332)-(892_432),(260_270)-(395_353)
470.00,0.06,0.06,0.04,0.00,0.00
560.00,9.21,8.42,7.25,2.11,2.93
670.00,3.96,2.22,3.64,0.89,0.87
720.00,50.16,50.66,45.75,23.89,25.69
780.00,90.54,88.05,87.46,48.52,52.31
840.00,84.41,78.44,83.12,46.50,51.78
900.00,75.63,70.30,72.54,37.08,43.60
970.00,63.07,52.03,62.20,21.46,22.65
