Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(106_181)-(268_321),(160_508)-(286_611),(657_533)-(857_629),(530_200)-(615_301)
470.00,0.06,0.01,0.00,0.00
560.00,13.21,6.21,1.68,1.60
670.00,6.65,1.79,0.62,0.87
720.00,51.95,35.92,18.41,16.92
780.00,74.58,62.89,36.30,27.17
840.00,60.77,55.61,32.50,23.03
900.00,86.92,83.94,49.14,32.76
970.00,77.42,57.10,29.95,16.11
