Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(618_133)-(736_286),(601_435)-(769_601),(230_528)-(403_697),(303_147)-(385_237)
470.00,0.00,0.00,0.19,0.00
560.00,13.61,8.24,14.62,12.14
670.00,2.99,1.42,3.60,2.81
720.00,38.18,25.52,45.20,38.23
780.00,52.98,37.79,65.43,54.02
840.00,50.30,36.62,58.27,48.53
900.00,54.82,37.92,62.57,53.86
970.00,49.03,28.33,56.90,42.62
