Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(402_187)-(519_283),(562_142)-(620_297),(360_437)-(546_539),(104_434)-(230_510)
470.00,0.00,0.00,0.71,0.13
560.00,5.86,7.58,10.60,9.77
670.00,1.80,3.92,4.71,2.19
720.00,32.23,35.23,42.29,44.25
780.00,51.91,56.30,72.75,74.14
840.00,43.72,47.48,64.10,65.49
900.00,63.79,71.12,90.15,87.58
970.00,37.83,42.99,77.15,66.80
