Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(248_86)-(267_105),(286_71)-(302_83),(234_170)-(250_192),(298_134)-(351_167),(301_192)-(337_214)
470.00,0.00,0.00,0.99,1.02,0.00
560.00,10.14,7.69,15.70,14.20,9.19
670.00,2.60,2.35,4.55,6.13,3.35
720.00,35.71,33.64,50.33,43.73,35.42
780.00,61.44,63.38,72.00,69.57,52.89
840.00,54.54,53.34,67.61,70.75,49.62
900.00,55.66,51.10,79.71,81.19,56.45
970.00,41.21,39.04,75.58,72.48,45.91
