Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(810_274)-(972_424),(1258_344)-(1357_482),(593_488)-(699_595),(1230_710)-(1318_795),(1073_718)-(1106_782)
470.00,0.19,0.03,2.57,0.00,0.30
560.00,19.60,12.73,21.11,18.23,31.09
670.00,5.10,4.11,6.96,4.25,8.74
720.00,61.09,45.55,53.79,62.51,73.06
780.00,94.03,73.25,92.14,82.49,91.99
840.00,83.98,69.37,84.79,74.27,87.11
900.00,85.85,74.34,90.54,85.36,94.50
970.00,67.21,60.37,82.23,84.58,94.58
