Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(801_125)-(924_205),(856_271)-(972_434),(681_555)-(826_704),(436_490)-(550_653)
470.00,0.00,0.00,3.89,4.88
560.00,16.77,22.23,24.45,21.67
670.00,2.97,4.61,7.22,4.17
720.00,38.60,48.15,51.46,47.80
780.00,52.54,63.36,69.63,62.25
840.00,59.95,71.66,76.96,69.28
900.00,77.81,93.76,94.66,90.97
970.00,71.43,93.99,94.85,92.41
