Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(743_564)-(879_741),(964_370)-(1150_528),(1013_153)-(1144_244),(540_248)-(650_360)
470.00,0.08,0.01,0.00,0.00
560.00,18.37,15.81,10.46,7.47
670.00,3.26,3.61,2.38,2.07
720.00,51.95,49.90,41.67,31.77
780.00,82.72,86.66,75.44,53.78
840.00,89.73,85.10,68.82,55.73
900.00,80.09,84.41,64.43,45.85
970.00,83.65,78.04,57.00,34.35
