Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(290_165)-(445_325),(662_351)-(799_493),(537_458)-(626_554),(560_716)-(646_819),(305_657)-(345_766)
470.00,0.00,0.01,0.00,0.00,0.00
560.00,10.08,10.07,7.03,17.87,21.01
670.00,2.57,4.43,1.59,5.50,4.45
720.00,35.66,39.77,28.50,43.09,49.05
780.00,50.34,57.26,41.81,61.91,64.65
840.00,45.68,52.37,40.88,63.54,61.90
900.00,50.62,56.86,45.29,69.68,71.40
970.00,40.39,56.48,38.75,83.13,75.08
