Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(573_240)-(731_390),(544_598)-(746_703),(233_543)-(343_722),(274_141)-(384_237)
470.00,0.00,0.04,0.01,0.00
560.00,4.20,9.72,8.14,0.76
670.00,1.23,3.77,2.24,0.27
720.00,24.83,38.14,34.99,12.71
780.00,44.05,61.95,56.49,24.27
840.00,40.08,56.09,49.49,22.48
900.00,40.15,60.73,53.25,20.06
970.00,33.83,59.94,43.65,12.74
