Number of bands=8
Number of spectra=6
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(469_426)-(577_525),(637_376)-(734_466),(976_278)-(1058_361),(1112_244)-(1172_330),(1079_605)-(1160_715),(864_739)-(928_819)
470.00,0.00,0.00,0.00,0.00,0.00,0.00
560.00,5.94,6.84,6.53,6.20,4.35,2.20
670.00,2.10,2.72,2.81,2.57,1.29,0.95
720.00,36.71,40.16,37.72,35.92,31.51,23.70
780.00,60.71,65.62,58.17,53.85,60.15,48.32
840.00,52.84,55.84,49.70,46.07,53.66,45.16
900.00,80.85,84.14,75.13,72.89,83.26,88.14
970.00,46.03,46.26,67.08,75.19,67.29,42.58
