Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(1081_414)-(1186_484),(990_485)-(1109_545),(969_639)-(1067_699),(990_260)-(1008_344)
470.00,3.91,4.04,0.46,0.00
560.00,31.18,30.07,21.57,13.96
670.00,14.75,13.35,10.59,6.03
720.00,72.75,65.24,60.18,43.63
780.00,83.46,79.38,68.52,53.96
840.00,78.45,74.17,64.23,47.60
900.00,77.11,73.95,66.79,37.23
970.00,83.23,78.83,72.35,38.70
