Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(572_325)-(674_432),(543_631)-(761_785),(221_760)-(390_893),(311_276)-(349_404)
470.00,0.00,0.14,0.00,0.00
560.00,1.48,6.66,1.98,0.71
670.00,0.62,4.32,0.68,0.56
720.00,18.50,38.01,22.92,16.26
780.00,33.76,76.09,50.25,30.97
840.00,30.66,69.80,47.10,26.80
900.00,44.69,94.67,89.22,38.68
970.00,18.49,84.67,46.02,16.12
