Number of bands=8
Number of spectra=5
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(197_559)-(294_687),(139_363)-(236_433),(515_352)-(604_482),(325_515)-(382_605),(111_642)-(166_685)
470.00,0.27,0.00,0.00,0.10,0.76
560.00,15.61,15.45,12.64,13.50,15.82
670.00,7.25,5.15,7.93,4.13,7.68
720.00,50.89,41.03,39.40,38.39,56.90
780.00,57.14,45.67,44.30,45.26,64.30
840.00,52.29,40.58,38.91,40.02,57.66
900.00,57.91,41.99,37.23,42.13,65.49
970.00,48.60,32.10,32.20,31.47,55.26
