Number of bands=8
Number of spectra=4
Ref Reflectance=95.00
Data type=0, reflectance in %
 Wavelength (nm),(803_313)-(921_456),(951_255)-(976_331),(1254_132)-(1430_264),(1279_420)-(1440_621)
470.00,0.00,0.00,0.00,0.27
560.00,2.68,3.32,4.58,10.98
670.00,0.91,1.07,1.50,4.72
720.00,21.28,22.53,28.18,46.66
780.00,31.27,30.93,40.29,75.66
840.00,27.68,26.56,32.69,69.68
900.00,39.52,28.88,39.23,92.05
970.00,20.70,23.53,63.44,72.05
